"Data","Histórico","Valor",
"01/04/2026","Pix - Enviado","48,94 D",
"01/04/2026","Pix - Enviado","35,00 D",
"02/04/2026","Pix - Enviado","700,00 D",
"02/04/2026","Compra Eletron","83,00 D",
"06/04/2026","Compra Eletron","4,99 D",
"06/04/2026","Pix - Enviado","200,00 D",
"06/04/2026","Compra Eletron","49,95 D",
"06/04/2026","Compra Eletron","30,00 D",
"07/04/2026","TED Mesma Titularidade","1.083,35 C",
"10/04/2026","Pix - Enviado","118,98 D",
"10/04/2026","Pix - Enviado","50,00 D",
"10/04/2026","Compra Eletron","28,87 D",
