"Data","Histórico","Valor",
"05/01/2026","Pix - Enviado","6,50 D",
"05/01/2026","Pix - Enviado","3,00 D",
"05/01/2026","Pix - Recebido","24,00 C",
"06/01/2026","Pix - Enviado","34,50 D",
"26/01/2026","Compra Eletron","65,44 D",
"26/01/2026","Compra Eletron","29,00 D",
"26/01/2026","Compra Eletron","26,00 D",
"26/01/2026","Compra Eletron","26,00 D",
"26/01/2026","Pix - Recebido","5.000,00 C",
"26/01/2026","Pix - Recebido","5.000,00 C",
"27/01/2026","Pix - Enviado","27,99 D",
"28/01/2026","Pix - Enviado","4,74 D",
"28/01/2026","Pix-Envio devolvido","4,74 C",
"29/01/2026","Pix - Enviado","4,74 D",
"29/01/2026","Compra Eletron","199,99 D",
"30/01/2026","Compra Eletron","68,00 D",
