"Data","Histórico","Valor",
"02/03/2026","Compra Eletron","37,20 D",
"03/03/2026","Pix - Enviado","300,00 D",
"03/03/2026","Compra Eletron","199,66 D",
"03/03/2026","Compra Eletron","18,00 D",
"04/03/2026","Compra Eletron","47,90 D",
"06/03/2026","TED Mesma Titularidade","1.078,55 C",
"09/03/2026","Compra Eletron","23,90 D",
"09/03/2026","Compra Eletron","20,00 D",
"09/03/2026","Compra Eletron","20,00 D",
"09/03/2026","Pix - Enviado","320,00 D",
"09/03/2026","Pix - Enviado","700,00 D",
"09/03/2026","Compra Eletron","68,00 D",
"09/03/2026","Compra Eletron","44,45 D",
"12/03/2026","Pix - Enviado","268,37 D",
"12/03/2026","Compra Eletron","53,15 D",
"16/03/2026","Compra Eletron","44,50 D",
"16/03/2026","Compra Eletron","31,00 D",
"17/03/2026","Recarga de Celular TIM","20,00 D",
"18/03/2026","Compra Eletron","14,39 D",
"19/03/2026","Compra Eletron","49,97 D",
"20/03/2026","Pix - Enviado","27,00 D",
"20/03/2026","TED Mesma Titularidade","916,26 C",
"23/03/2026","Recarga de Celular TIM","30,00 D",
"23/03/2026","Compra Eletron","190,00 D",
"23/03/2026","Compra Eletron","139,80 D",
"23/03/2026","Compra Eletron","68,94 D",
"23/03/2026","Compra Eletron","50,00 D",
"23/03/2026","Compra Eletron","29,00 D",
"23/03/2026","Compra Eletron","20,00 D",
"23/03/2026","Compra Eletron","18,00 D",
"23/03/2026","Compra Eletron","16,00 D",
"25/03/2026","Pix - Enviado","14,99 D",
"25/03/2026","Compra Eletron","277,00 D",
"25/03/2026","Reajuste Monetário - BACEN","10,19 C",
"25/03/2026","Juros","30,13 C",
"27/03/2026","Compra Eletron","50,00 D",
"30/03/2026","Pix - Enviado","32,39 D",
"30/03/2026","Pix - Enviado","32,39 D",
"30/03/2026","Recarga de Celular TIM","20,00 D",
"30/03/2026","Pix - Enviado","19,35 D",
"30/03/2026","Compra Eletron","49,49 D",
"30/03/2026","Pix-Envio devolvido","32,39 C",
